Date,Channel,Campaign,Impressions,Clicks,Conversions,Cost,Revenue
4/13/2024,Google Ads,Retargeting,29707,5365,432.0,1387.14,28465.38
5/11/2024,Email,Spring Sale,46185,2088,299.0,4856.51,9973.01
3/24/2024,Google Ads,Product Launch,1830,172,17.0,2579.6,1666.59
4/4/2024,Facebook,Spring Sale,2928,272,38.0,3785.24,637.47
2/25/2024,Facebook,Product Launch,17030,1083,183.0,154.97,4931.02
2/6/2024,Facebook,Brand Awareness,27356,3068,879.0,3902.29,28388.36
4/18/2024,LinkedIn,Spring Sale,27567,3659,288.0,165.25,5578.44
1/29/2024,Instagram,Retargeting,38144,4274,992.0,1646.19,10834.2
3/26/2024,Instagram,Retargeting,32179,4181,517.0,1032.09,15254.79
5/21/2024,Facebook,Spring Sale,6940,623,81.0,1763.4,1943.87
1/4/2024,Email,Brand Awareness,1247,174,27.0,4679.85,528.81
4/10/2024,Google Ads,Holiday Promo,15161,1315,141.0,793.74,12713.87
2/12/2024,LinkedIn,Holiday Promo,24924,2510,229.0,2329.81,10090.68
1/12/2024,Email,Spring Sale,18867,2559,516.0,1833.03,34794.11
5/29/2024,Instagram,Product Launch,20470,1972,227.0,4883.86,21903.23
5/4/2024,Instagram,Product Launch,33562,6017,1084.0,979.37,14825.04
4/26/2024,Facebook,Retargeting,33030,6304,731.0,2290.95,56716.37
3/15/2024,Email,Product Launch,34142,957,186.0,2710.01,12195.17
5/7/2024,Google Ads,Product Launch,2886,551,86.0,1684.27,8497.6
5/9/2024,Email,Spring Sale,38307,5819,491.0,4122.96,17566.76
4/29/2024,Facebook,Product Launch,18538,565,111.0,3335.61,3933.77
5/3/2024,Facebook,Brand Awareness,16424,685,40.0,470.8,2368.48
4/29/2024,Instagram,Product Launch,8635,1323,336.0,1014.81,10974.25
1/22/2024,LinkedIn,Spring Sale,6059,664,100.0,3653.45,1496.14
5/7/2024,LinkedIn,Retargeting,42043,4677,1216.0,1984.63,33658.69
2/27/2024,Facebook,Spring Sale,39696,5407,687.0,442.84,12208.2
1/9/2024,Email,Product Launch,22255,4106,1150.0,1393.01,30738.01
4/29/2024,LinkedIn,Product Launch,36461,6960,1937.0,1812.3,34594.01
5/21/2024,Instagram,Product Launch,35635,5365,672.0,4034.04,34465.76
4/4/2024,LinkedIn,Holiday Promo,18479,304,16.0,4067.7,806.04
3/22/2024,Instagram,Holiday Promo,21042,2283,656.0,1151.26,60803.57
3/7/2024,Instagram,Spring Sale,8653,137,13.0,4653.94,436.31
5/4/2024,LinkedIn,Spring Sale,43455,7932,840.0,3741.38,81965.76
1/4/2024,Google Ads,Holiday Promo,40059,3123,273.0,3718.82,3152.13
1/2/2024,Instagram,Brand Awareness,27715,1470,131.0,3240.6,11893.23
4/12/2024,Instagram,Product Launch,22576,2287,665.0,918.82,65796.59
4/20/2024,Google Ads,Spring Sale,44103,7680,900.0,2079.88,56061.2
5/8/2024,LinkedIn,Holiday Promo,27556,1365,374.0,273.09,23056.32
1/23/2024,Google Ads,Spring Sale,5253,334,65.0,3555.1,4317.7
3/17/2024,Google Ads,Brand Awareness,32757,877,84.0,317.69,1783.96
4/24/2024,Facebook,Spring Sale,41826,1047,57.0,4947.61,4504.36
1/8/2024,Google Ads,Spring Sale,7764,1152,81.0,435.53,5881.8
1/13/2024,Email,Holiday Promo,7317,1161,273.0,2027.9,14926.32
3/29/2024,Facebook,Holiday Promo,1573,180,36.0,2558.89,552.11
1/27/2024,Google Ads,Holiday Promo,47321,6582,423.0,4275.27,6036.56
5/22/2024,Google Ads,Spring Sale,35052,1405,181.0,1762.8,9807.87
4/13/2024,Email,Holiday Promo,38401,4828,1207.0,1842.41,20891.12
1/16/2024,Facebook,Product Launch,12126,1787,285.0,3416.62,20818.87
3/4/2024,Email,Brand Awareness,23428,3116,466.0,2970.06,40204.48
3/17/2024,Facebook,Spring Sale,41827,1762,282.0,1183.25,12097.69
5/29/2024,Instagram,Product Launch,46464,1672,381.0,3492.72,34817.98
5/27/2024,Email,Holiday Promo,48621,3965,428.0,2778.65,27236.52
4/22/2024,Instagram,Brand Awareness,18586,2875,623.0,2617.5,56596.94
5/21/2024,Email,Brand Awareness,28218,4295,1000.0,1968.9,17509.31
1/17/2024,Facebook,Holiday Promo,26541,3289,265.0,1065.92,22767.83
2/24/2024,Facebook,Product Launch,16792,215,42.0,765.21,3036.01
4/24/2024,Google Ads,Product Launch,22117,2607,671.0,4007.56,13241.44
1/21/2024,LinkedIn,Retargeting,20897,3541,882.0,1568.3,66188.94
3/12/2024,LinkedIn,Brand Awareness,8470,1408,198.0,4283.58,6858.15
2/17/2024,Email,Spring Sale,19542,2125,150.0,2862.53,11048.91
2/26/2024,LinkedIn,Retargeting,13602,1307,180.0,3049.24,6645.52
4/25/2024,Facebook,Retargeting,35616,4387,562.0,180.93,52249.82
1/26/2024,Google Ads,Brand Awareness,14484,1667,114.0,755.22,8676.21
4/11/2024,Instagram,Product Launch,1301,245,57.0,4134.8,5481.77
5/20/2024,Instagram,Product Launch,49280,5028,1003.0,989.59,12089.08
4/8/2024,LinkedIn,Retargeting,22711,2571,352.0,2634.09,31532.09
5/23/2024,Email,Retargeting,33565,4205,264.0,3406.99,5231.48
3/10/2024,Google Ads,Brand Awareness,43831,7298,854.0,4414.08,54641
3/19/2024,Instagram,Retargeting,6736,318,27.0,1772.31,278.96
5/25/2024,Facebook,Brand Awareness,7495,505,150.0,639.9,12227.16
3/25/2024,Instagram,Retargeting,33357,2608,766.0,3853.38,15046.53
3/26/2024,Google Ads,Product Launch,33085,771,210.0,897.21,5462.62
4/30/2024,Facebook,Spring Sale,12316,426,45.0,827.24,1557.13
5/4/2024,Email,Holiday Promo,36057,2169,350.0,4838.02,30778.88
2/18/2024,Google Ads,Retargeting,20472,2175,304.0,1940.71,16958.49
4/3/2024,Email,Holiday Promo,42562,7450,1118.0,2711.06,62904.77
1/28/2024,Google Ads,Retargeting,27799,4814,718.0,4348.11,19621.02
5/25/2024,Google Ads,Brand Awareness,32463,1207,174.0,1999.15,8665.86
4/14/2024,Instagram,Brand Awareness,1141,74,12.0,4237.3,505.4
2/24/2024,LinkedIn,Brand Awareness,22845,1298,168.0,3990.31,2856.08
5/17/2024,Instagram,Holiday Promo,20802,1520,382.0,4403.09,19222.22
4/16/2024,Google Ads,Brand Awareness,17555,2764,551.0,262.69,20449.87
3/12/2024,Email,Product Launch,15640,2171,139.0,2511.78,12928.15
2/9/2024,Email,Retargeting,30216,342,28.0,4801.02,1480.85
2/6/2024,LinkedIn,Product Launch,38660,6766,495.0,4830.17,16742.55
2/26/2024,Google Ads,Brand Awareness,46969,5296,915.0,2961.54,10602.27
4/11/2024,Instagram,Retargeting,11947,268,78.0,1347.32,2442.78
5/26/2024,Facebook,Spring Sale,19829,3269,966.0,639.81,35447.32
4/28/2024,LinkedIn,Spring Sale,3918,640,66.0,1725.09,2952.98
5/15/2024,Instagram,Product Launch,41326,3380,189.0,1270.73,16238.51
4/26/2024,Instagram,Retargeting,43221,875,51.0,3173.66,3557.91
3/27/2024,LinkedIn,Product Launch,13033,2038,282.0,3304.74,14913.19
3/25/2024,LinkedIn,Brand Awareness,16773,656,171.0,2989.99,5373.2
5/11/2024,LinkedIn,Retargeting,39304,4846,848.0,4186.29,28085.82
2/22/2024,Email,Product Launch,43100,1927,494.0,3263.76,42884.97
3/2/2024,LinkedIn,Holiday Promo,37155,847,95.0,4871.4,3882.84
4/29/2024,Facebook,Holiday Promo,6144,1119,212.0,2013.21,4113.33
2/15/2024,Email,Retargeting,2050,394,82.0,1246.51,7848.21
3/15/2024,Email,Spring Sale,27333,571,147.0,505.25,13114.28
2/13/2024,Instagram,Holiday Promo,22094,3178,513.0,4738.56,30375.67
5/26/2024,LinkedIn,Brand Awareness,33391,1311,107.0,2916.26,7807.95
5/14/2024,Facebook,Brand Awareness,33954,5809,1011.0,1702.09,50776.3
4/11/2024,LinkedIn,Retargeting,26896,3102,759.0,4147,28571.73
4/22/2024,Facebook,Holiday Promo,44589,7168,477.0,4900.77,27359.63
3/26/2024,Facebook,Brand Awareness,33526,3376,968.0,409.03,45420.06
4/26/2024,Instagram,Spring Sale,40799,7098,1642.0,2172.37,56039.26
3/12/2024,Instagram,Holiday Promo,21092,1337,338.0,3181.42,29045.99
5/1/2024,LinkedIn,Spring Sale,26260,1474,337.0,2245.81,14516.36
5/18/2024,LinkedIn,Spring Sale,46570,4320,999.0,3943.85,98868.26
4/4/2024,LinkedIn,Product Launch,28450,3914,1041.0,3536.48,36314.64
5/21/2024,LinkedIn,Brand Awareness,20657,1482,86.0,1866.42,7336.32
4/1/2024,LinkedIn,Product Launch,35102,4355,619.0,3834.43,37210.11
3/9/2024,Email,Retargeting,37103,4178,1066.0,3571.75,51915.68
2/16/2024,Instagram,Holiday Promo,17198,456,81.0,1995.08,1961.55
5/12/2024,LinkedIn,Product Launch,17660,3529,311.0,3315.96,7297.19
2/29/2024,LinkedIn,Retargeting,49720,2536,628.0,4285.28,12066.09
5/24/2024,Facebook,Retargeting,18258,859,68.0,988.66,1302.85
3/22/2024,Email,Spring Sale,15031,1515,370.0,4277.96,33787.77
4/17/2024,Instagram,Product Launch,36384,2400,677.0,582.53,63596.44
4/25/2024,LinkedIn,Spring Sale,14856,1166,325.0,4042.62,20324.03
2/13/2024,LinkedIn,Brand Awareness,47217,7362,526.0,1743.43,37074.75
2/5/2024,Email,Brand Awareness,21291,300,59.0,3738.12,2712.39
1/31/2024,Instagram,Product Launch,8089,835,112.0,936.34,9786.42
4/12/2024,Facebook,Holiday Promo,2046,262,14.0,2626.47,688.88
5/18/2024,Facebook,Product Launch,35133,3164,673.0,3979,42751.5
3/2/2024,Google Ads,Product Launch,13053,1703,191.0,2359.64,17371.2
1/12/2024,LinkedIn,Brand Awareness,46804,4624,1196.0,3605.6,68851.93
4/16/2024,Email,Spring Sale,6145,638,188.0,3933.95,11566.62
3/11/2024,Google Ads,Retargeting,23784,1211,99.0,4028.73,3970.76
4/6/2024,Email,Spring Sale,22520,1285,327.0,1588.33,17624.74
3/15/2024,Email,Holiday Promo,20222,1275,319.0,1375.22,25828.2
5/4/2024,Facebook,Spring Sale,18603,3168,204.0,4107.14,9317.14
4/5/2024,Facebook,Spring Sale,21764,963,166.0,3215.63,12608.63
3/11/2024,Facebook,Spring Sale,34940,1344,362.0,844.98,27643.12
3/14/2024,Instagram,Brand Awareness,5004,109,14.0,1688.99,245.89
1/15/2024,Instagram,Spring Sale,24092,2813,537.0,3904.15,39786.8
3/13/2024,Facebook,Retargeting,20690,4119,272.0,1274.83,25615.44
2/24/2024,Google Ads,Product Launch,21249,3156,690.0,3352.17,25506.79
5/19/2024,Email,Brand Awareness,44980,6605,1601.0,3149.45,53061.59
5/1/2024,Email,Brand Awareness,41365,1118,162.0,2653.65,15670.27
3/26/2024,Facebook,Holiday Promo,31970,3034,655.0,4398.9,42810.39
1/18/2024,Instagram,Brand Awareness,3509,313,56.0,4826.63,4452.1
5/19/2024,Google Ads,Product Launch,2709,28,4.0,4010.35,106.76
2/29/2024,Instagram,Holiday Promo,21289,1760,150.0,1701.2,5819.47
3/29/2024,Google Ads,Brand Awareness,38873,7418,1909.0,4220.72,145077.34
4/22/2024,Email,Brand Awareness,15191,260,75.0,4748.47,6342.79
2/6/2024,Google Ads,Holiday Promo,18487,587,171.0,1118.92,14213.86
4/24/2024,Facebook,Spring Sale,9869,1083,126.0,667.88,5314.67
3/5/2024,Instagram,Retargeting,47064,7074,556.0,1952.53,51996.46
5/15/2024,Google Ads,Product Launch,37567,3207,252.0,2429.8,16572.97
2/16/2024,Facebook,Spring Sale,36767,6205,571.0,2286.65,41429.33
5/7/2024,Instagram,Brand Awareness,46364,6364,1020.0,1302.86,55188.14
1/9/2024,LinkedIn,Retargeting,23587,519,111.0,2769.14,9717.99
2/15/2024,LinkedIn,Spring Sale,25038,2273,584.0,3447.79,13828.93
1/7/2024,LinkedIn,Brand Awareness,43064,3034,595.0,3883.29,49965.38
4/26/2024,Google Ads,Brand Awareness,37180,1321,339.0,2471.38,25109.33
5/4/2024,Facebook,Spring Sale,41050,3195,509.0,3139.21,31667.8
5/14/2024,Google Ads,Retargeting,42684,640,132.0,4372.85,4070.42
3/17/2024,Instagram,Brand Awareness,20998,906,242.0,634.96,4900.39
2/2/2024,LinkedIn,Retargeting,49665,9640,1211.0,888.06,46651.27
3/19/2024,LinkedIn,Holiday Promo,6937,399,84.0,2604.79,8235.87
2/5/2024,Instagram,Spring Sale,15960,2786,832.0,4998.8,34822.95
4/23/2024,Email,Spring Sale,37656,3520,847.0,2434.53,75961.39
1/23/2024,Google Ads,Retargeting,29175,1739,432.0,3679.63,10014.08
5/13/2024,Instagram,Brand Awareness,41635,3197,770.0,1445.89,68821.41
1/30/2024,LinkedIn,Spring Sale,30142,3837,540.0,3505.1,51048.92
3/7/2024,Facebook,Product Launch,26754,549,62.0,1534.98,5318.84
2/1/2024,Email,Retargeting,4596,916,56.0,1410.04,4737.88
5/29/2024,Instagram,Spring Sale,41210,7085,1571.0,1044.16,26268.1
2/18/2024,Facebook,Brand Awareness,10804,255,71.0,789.36,5029.61
5/19/2024,Google Ads,Retargeting,7491,1189,244.0,2941.74,9238.15
1/12/2024,Instagram,Product Launch,19991,2521,675.0,3509.22,63679.9
3/2/2024,Google Ads,Retargeting,31052,4441,1332.0,1220.81,120887.52
1/18/2024,Instagram,Spring Sale,10537,2027,498.0,2293.3,28051.52
2/25/2024,Facebook,Product Launch,5175,277,64.0,4856.56,6263.02
2/22/2024,Facebook,Spring Sale,6003,1062,204.0,3858.39,17557.02
4/10/2024,Email,Spring Sale,3032,155,36.0,4172.61,2753.36
1/23/2024,LinkedIn,Holiday Promo,23099,1041,224.0,1826.3,21940.14
4/30/2024,Instagram,Product Launch,49152,9745,2147.0,2720.54,164276.11
3/15/2024,Email,Product Launch,40037,4786,269.0,2823.76,3851.4
1/25/2024,Facebook,Brand Awareness,33488,6248,875.0,1544.02,29767.12
2/19/2024,Instagram,Retargeting,49257,6727,1209.0,2733.14,62429.81
5/13/2024,Google Ads,Holiday Promo,26090,2530,447.0,3875.73,4700.67
3/23/2024,Instagram,Spring Sale,13423,1858,216.0,3332.37,15663.07
5/30/2024,LinkedIn,Retargeting,8534,1460,195.0,3347.83,11779.01
4/25/2024,LinkedIn,Retargeting,25239,2437,423.0,361.35,23597.65
2/10/2024,Facebook,Spring Sale,38626,2695,333.0,3265.49,17340.55
5/30/2024,Google Ads,Retargeting,19234,436,42.0,4134.21,3366.48
2/18/2024,Instagram,Retargeting,40485,1086,157.0,2544.71,13925.57
5/21/2024,Email,Product Launch,12107,1218,319.0,1359.18,18541.53
1/18/2024,LinkedIn,Product Launch,9430,415,118.0,3168,9780.4
3/25/2024,Email,Retargeting,38402,2308,443.0,706.12,38781.39
4/24/2024,Facebook,Product Launch,43480,6371,874.0,3025.57,8762.69
5/3/2024,Email,Product Launch,35778,2300,227.0,4748.65,18813.66
5/21/2024,Instagram,Product Launch,49616,7317,1682.0,4456.09,117601.46
3/11/2024,LinkedIn,Holiday Promo,45334,3235,272.0,420.46,9570.29
4/11/2024,Instagram,Retargeting,20850,3608,724.0,1308.53,10580.78
3/3/2024,Instagram,Spring Sale,35502,430,94.0,4896.25,1733.4
5/23/2024,Instagram,Holiday Promo,34520,655,194.0,1351.46,18303.75
3/14/2024,Instagram,Retargeting,49880,1154,214.0,4895.87,9867.51
2/21/2024,Facebook,Spring Sale,38835,723,88.0,814.69,7626
3/2/2024,Facebook,Brand Awareness,14160,2015,184.0,270.66,7104.5
3/6/2024,Google Ads,Holiday Promo,29648,3616,660.0,2491.5,63406.42
1/25/2024,Google Ads,Product Launch,5180,611,37.0,506.22,3302.23
3/22/2024,Email,Product Launch,12569,705,129.0,4939.6,5109.89
1/28/2024,Instagram,Holiday Promo,16682,272,59.0,4168.77,623.29
1/24/2024,Facebook,Product Launch,48274,8291,1516.0,365.14,133409.67
3/21/2024,LinkedIn,Retargeting,35929,3044,814.0,3008.75,69131.15
4/24/2024,Google Ads,Product Launch,8870,619,101.0,2698.56,9557.5
4/1/2024,Facebook,Brand Awareness,25527,2188,353.0,4731.18,34405.14
1/19/2024,Instagram,Retargeting,49484,7862,1586.0,3146.31,127353.63
2/19/2024,Facebook,Brand Awareness,17252,2692,223.0,975.16,20325.28
1/27/2024,Email,Product Launch,31590,1093,195.0,745.11,5306.5
1/21/2024,Instagram,Spring Sale,11258,1897,369.0,2303.02,32610.15
5/13/2024,Google Ads,Holiday Promo,23842,3414,246.0,1959.77,7010.41
5/11/2024,Google Ads,Holiday Promo,29109,726,156.0,2327.51,15041.23
3/28/2024,Facebook,Spring Sale,36274,6724,1181.0,614.98,37248.54
2/29/2024,Instagram,Retargeting,2831,397,40.0,4405.02,1156.56
3/1/2024,Instagram,Product Launch,2167,71,20.0,1196.68,1056.73
3/5/2024,Instagram,Holiday Promo,21776,3085,832.0,716.42,40971.13
5/19/2024,Instagram,Product Launch,21319,1865,317.0,4299.73,9062.77
1/29/2024,Facebook,Spring Sale,38268,3124,897.0,1318.06,28238.8
2/9/2024,Email,Spring Sale,43728,8302,1331.0,1371.66,108344.21
4/19/2024,Instagram,Brand Awareness,7417,1295,367.0,357.73,23436.22
1/7/2024,Instagram,Spring Sale,34669,1105,108.0,1615.7,9258.66
5/6/2024,Google Ads,Product Launch,25305,2387,319.0,1885.45,14583.54
1/22/2024,Google Ads,Spring Sale,49081,8422,2339.0,4964.83,164637.12
5/5/2024,Google Ads,Product Launch,4608,420,95.0,4386.05,9302.04
1/29/2024,LinkedIn,Retargeting,31569,531,150.0,1424.11,9628.71
5/28/2024,Email,Holiday Promo,14854,674,169.0,2672.15,13069.41
1/7/2024,LinkedIn,Product Launch,40606,3402,724.0,3672.86,68185.32
4/8/2024,Email,Brand Awareness,33487,1123,200.0,3313.26,14724.55
4/8/2024,Email,Retargeting,29062,5403,1548.0,3015.04,146260.21
5/23/2024,Instagram,Spring Sale,7086,963,175.0,1141.38,15054.09
1/12/2024,Instagram,Product Launch,25401,344,60.0,2532.43,4876.02
5/18/2024,Google Ads,Retargeting,35963,949,94.0,1252.66,8822.74
4/20/2024,Google Ads,Brand Awareness,47773,9445,2027.0,242.29,88581.58
1/13/2024,LinkedIn,Holiday Promo,11109,1087,220.0,1524.52,3058.9
3/2/2024,Google Ads,Brand Awareness,4254,807,228.0,2915.62,22579.71
3/17/2024,Facebook,Product Launch,10310,745,143.0,1440.57,5803.43
1/14/2024,Facebook,Holiday Promo,28652,4814,1411.0,2258.49,53005.68
1/30/2024,LinkedIn,Holiday Promo,16165,705,149.0,2281.58,2140.18
1/1/2024,Google Ads,Spring Sale,45442,6968,1369.0,3045.63,87978.65
2/24/2024,Instagram,Product Launch,36161,4130,325.0,4211.64,4492.14
2/29/2024,Instagram,Retargeting,19698,3653,1032.0,2416.97,69116
2/14/2024,Facebook,Brand Awareness,6836,607,61.0,4906,4644.7
4/24/2024,Google Ads,Retargeting,9140,1332,220.0,350.65,15282.92
1/17/2024,Email,Holiday Promo,31068,3225,404.0,1483.78,9860.68
5/28/2024,Email,Brand Awareness,28322,3366,943.0,3939.04,71889.6
2/13/2024,LinkedIn,Holiday Promo,24446,972,106.0,3026.85,10163.47
5/10/2024,Email,Product Launch,11337,982,224.0,4854.41,16649.03
1/29/2024,Facebook,Product Launch,27923,4571,569.0,2746.72,16150.44
3/31/2024,Instagram,Spring Sale,26907,4094,1138.0,3741.66,37998.29
1/10/2024,Email,Spring Sale,46784,1004,71.0,3249.52,4028.63
4/8/2024,Facebook,Brand Awareness,28854,2702,611.0,3063.54,50371.25
5/12/2024,LinkedIn,Holiday Promo,37631,2471,326.0,4341.68,8746.98
3/31/2024,Email,Brand Awareness,5606,435,36.0,4259.66,2399.47
2/12/2024,Google Ads,Spring Sale,13591,972,153.0,2446.56,9326.19
5/3/2024,Facebook,Retargeting,39410,4698,518.0,2061.31,10377.67
3/11/2024,Facebook,Product Launch,19439,250,37.0,1464.45,1513.9
5/2/2024,Facebook,Spring Sale,6452,651,67.0,404.03,6205.24
3/23/2024,Email,Product Launch,22753,2400,352.0,3835.03,35150.51
5/26/2024,Instagram,Retargeting,1965,68,5.0,3556.58,490
3/18/2024,Instagram,Spring Sale,11620,780,203.0,4503.6,11902.35
5/13/2024,Email,Holiday Promo,23197,1977,163.0,1384.87,7282.95
2/29/2024,Google Ads,Holiday Promo,14508,672,64.0,3035.54,1136.37
2/22/2024,Instagram,Product Launch,32091,1919,138.0,416.59,6693.16
5/19/2024,Facebook,Brand Awareness,42625,6608,945.0,433.2,82981.31
4/15/2024,Facebook,Product Launch,43021,8194,507.0,3831.35,45162.11
2/20/2024,Google Ads,Product Launch,8768,462,55.0,600.35,2457.58
4/18/2024,Google Ads,Spring Sale,37980,5029,1273.0,1249.62,118852.22
3/26/2024,Instagram,Brand Awareness,22220,3588,843.0,2568.58,32576.57
3/23/2024,Facebook,Retargeting,49811,7347,1739.0,4789.23,76490.53
4/2/2024,Facebook,Brand Awareness,13463,906,60.0,3567.58,1534.24
1/16/2024,Instagram,Spring Sale,22818,3732,625.0,3199.57,41010.26
2/26/2024,Facebook,Product Launch,7354,585,127.0,4686.17,7913.17
4/8/2024,Email,Spring Sale,49277,4599,342.0,4536.12,5391.01
1/2/2024,Facebook,Spring Sale,6843,1113,129.0,2031.38,3911.55
5/13/2024,Email,Brand Awareness,7077,525,87.0,3415.86,979.06
3/5/2024,Facebook,Retargeting,16357,906,192.0,1445.6,2003.98
3/15/2024,Facebook,Retargeting,46495,7741,1709.0,4705.16,112889
1/1/2024,Email,Retargeting,23624,3638,554.0,1977.92,30896.96
2/22/2024,Instagram,Product Launch,16165,415,63.0,4991.5,5815.71
5/2/2024,LinkedIn,Retargeting,36521,4519,859.0,3822.78,84173.94
1/17/2024,LinkedIn,Brand Awareness,43450,5895,571.0,3131.84,42027.76
4/13/2024,Email,Retargeting,10094,203,17.0,1474.58,269.07
2/4/2024,Google Ads,Spring Sale,47833,8434,1290.0,827.62,127103.84
2/6/2024,Email,Product Launch,25439,776,131.0,3010.94,6086.92
1/17/2024,Email,Holiday Promo,4763,487,64.0,1242.72,742.45
4/17/2024,LinkedIn,Brand Awareness,29397,3003,620.0,1906.2,14635.16
2/25/2024,Email,Retargeting,6139,196,36.0,4772.39,2412.66
4/24/2024,Facebook,Retargeting,26619,3253,174.0,4109.9,2453.17
2/17/2024,Instagram,Brand Awareness,41991,663,156.0,3901.93,12218.98
4/26/2024,Email,Spring Sale,36882,6609,672.0,1829.16,62319.38
2/10/2024,Instagram,Brand Awareness,14041,2211,395.0,4978.75,33219.39
4/20/2024,Email,Spring Sale,48559,6870,449.0,1136.61,7518.4
5/22/2024,Instagram,Brand Awareness,23210,4167,1179.0,1232.6,59015.98
1/24/2024,Google Ads,Retargeting,9410,946,208.0,2078.24,3842.98
5/12/2024,LinkedIn,Holiday Promo,22054,2464,576.0,4694.05,43883
5/9/2024,LinkedIn,Holiday Promo,19641,448,130.0,1631.82,9672.98
